Изборна единица,Општина,Избирачко место,Подносител на листа,Освоени гласови
1,АЕРОДРОМ,2673,ДПА,0
1,АЕРОДРОМ,2673,ДЕМОКРАТИ,1
1,АЕРОДРОМ,2673,КОАЛИЦИЈА МОЖЕМЕ,188
1,АЕРОДРОМ,2673,ЛЕВИЦА,51
1,АЕРОДРОМ,2673,АА / A,0
1,АЕРОДРОМ,2673,ГЛАС ЗА МАКЕДОНИЈА,6
1,АЕРОДРОМ,2673,ГДУ,0
1,АЕРОДРОМ,2673,ИНТЕГРА,8
1,АЕРОДРОМ,2673,ДУИ,2
1,АЕРОДРОМ,2673,СДУ,1
1,АЕРОДРОМ,2673,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2673,МОРО,0
1,АЕРОДРОМ,2673,ВМРО - ДПМНЕ и други,159
1,АЕРОДРОМ,2673,ТВОЈА,7
1,АЕРОДРОМ,2674,ДПА,0
1,АЕРОДРОМ,2674,ДЕМОКРАТИ,1
1,АЕРОДРОМ,2674,КОАЛИЦИЈА МОЖЕМЕ,227
1,АЕРОДРОМ,2674,ЛЕВИЦА,54
1,АЕРОДРОМ,2674,АА / A,2
1,АЕРОДРОМ,2674,ГЛАС ЗА МАКЕДОНИЈА,6
1,АЕРОДРОМ,2674,ГДУ,0
1,АЕРОДРОМ,2674,ИНТЕГРА,14
1,АЕРОДРОМ,2674,ДУИ,3
1,АЕРОДРОМ,2674,СДУ,4
1,АЕРОДРОМ,2674,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2674,МОРО,5
1,АЕРОДРОМ,2674,ВМРО - ДПМНЕ и други,204
1,АЕРОДРОМ,2674,ТВОЈА,6
1,АЕРОДРОМ,2675,ДПА,0
1,АЕРОДРОМ,2675,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2675,КОАЛИЦИЈА МОЖЕМЕ,127
1,АЕРОДРОМ,2675,ЛЕВИЦА,52
1,АЕРОДРОМ,2675,АА / A,4
1,АЕРОДРОМ,2675,ГЛАС ЗА МАКЕДОНИЈА,4
1,АЕРОДРОМ,2675,ГДУ,0
1,АЕРОДРОМ,2675,ИНТЕГРА,9
1,АЕРОДРОМ,2675,ДУИ,0
1,АЕРОДРОМ,2675,СДУ,5
1,АЕРОДРОМ,2675,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2675,МОРО,2
1,АЕРОДРОМ,2675,ВМРО - ДПМНЕ и други,149
1,АЕРОДРОМ,2675,ТВОЈА,2
1,АЕРОДРОМ,2676,ДПА,0
1,АЕРОДРОМ,2676,ДЕМОКРАТИ,1
1,АЕРОДРОМ,2676,КОАЛИЦИЈА МОЖЕМЕ,185
1,АЕРОДРОМ,2676,ЛЕВИЦА,31
1,АЕРОДРОМ,2676,АА / A,2
1,АЕРОДРОМ,2676,ГЛАС ЗА МАКЕДОНИЈА,3
1,АЕРОДРОМ,2676,ГДУ,4
1,АЕРОДРОМ,2676,ИНТЕГРА,8
1,АЕРОДРОМ,2676,ДУИ,2
1,АЕРОДРОМ,2676,СДУ,0
1,АЕРОДРОМ,2676,ЕДИНСТВЕНА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2676,МОРО,0
1,АЕРОДРОМ,2676,ВМРО - ДПМНЕ и други,123
1,АЕРОДРОМ,2676,ТВОЈА,0
1,АЕРОДРОМ,2677,ДПА,0
1,АЕРОДРОМ,2677,ДЕМОКРАТИ,1
1,АЕРОДРОМ,2677,КОАЛИЦИЈА МОЖЕМЕ,121
1,АЕРОДРОМ,2677,ЛЕВИЦА,26
1,АЕРОДРОМ,2677,АА / A,0
1,АЕРОДРОМ,2677,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2677,ГДУ,2
1,АЕРОДРОМ,2677,ИНТЕГРА,7
1,АЕРОДРОМ,2677,ДУИ,0
1,АЕРОДРОМ,2677,СДУ,0
1,АЕРОДРОМ,2677,ЕДИНСТВЕНА МАКЕДОНИЈА,5
1,АЕРОДРОМ,2677,МОРО,0
1,АЕРОДРОМ,2677,ВМРО - ДПМНЕ и други,112
1,АЕРОДРОМ,2677,ТВОЈА,8
1,АЕРОДРОМ,2678,ДПА,1
1,АЕРОДРОМ,2678,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2678,КОАЛИЦИЈА МОЖЕМЕ,269
1,АЕРОДРОМ,2678,ЛЕВИЦА,65
1,АЕРОДРОМ,2678,АА / A,0
1,АЕРОДРОМ,2678,ГЛАС ЗА МАКЕДОНИЈА,6
1,АЕРОДРОМ,2678,ГДУ,4
1,АЕРОДРОМ,2678,ИНТЕГРА,6
1,АЕРОДРОМ,2678,ДУИ,1
1,АЕРОДРОМ,2678,СДУ,2
1,АЕРОДРОМ,2678,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2678,МОРО,2
1,АЕРОДРОМ,2678,ВМРО - ДПМНЕ и други,195
1,АЕРОДРОМ,2678,ТВОЈА,6
1,АЕРОДРОМ,2679,ДПА,0
1,АЕРОДРОМ,2679,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2679,КОАЛИЦИЈА МОЖЕМЕ,99
1,АЕРОДРОМ,2679,ЛЕВИЦА,23
1,АЕРОДРОМ,2679,АА / A,0
1,АЕРОДРОМ,2679,ГЛАС ЗА МАКЕДОНИЈА,1
1,АЕРОДРОМ,2679,ГДУ,0
1,АЕРОДРОМ,2679,ИНТЕГРА,4
1,АЕРОДРОМ,2679,ДУИ,0
1,АЕРОДРОМ,2679,СДУ,1
1,АЕРОДРОМ,2679,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2679,МОРО,0
1,АЕРОДРОМ,2679,ВМРО - ДПМНЕ и други,106
1,АЕРОДРОМ,2679,ТВОЈА,1
1,АЕРОДРОМ,2679/1,ДПА,0
1,АЕРОДРОМ,2679/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2679/1,КОАЛИЦИЈА МОЖЕМЕ,90
1,АЕРОДРОМ,2679/1,ЛЕВИЦА,31
1,АЕРОДРОМ,2679/1,АА / A,0
1,АЕРОДРОМ,2679/1,ГЛАС ЗА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2679/1,ГДУ,0
1,АЕРОДРОМ,2679/1,ИНТЕГРА,3
1,АЕРОДРОМ,2679/1,ДУИ,0
1,АЕРОДРОМ,2679/1,СДУ,1
1,АЕРОДРОМ,2679/1,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2679/1,МОРО,2
1,АЕРОДРОМ,2679/1,ВМРО - ДПМНЕ и други,109
1,АЕРОДРОМ,2679/1,ТВОЈА,2
1,АЕРОДРОМ,2680,ДПА,0
1,АЕРОДРОМ,2680,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2680,КОАЛИЦИЈА МОЖЕМЕ,118
1,АЕРОДРОМ,2680,ЛЕВИЦА,31
1,АЕРОДРОМ,2680,АА / A,0
1,АЕРОДРОМ,2680,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680,ГДУ,3
1,АЕРОДРОМ,2680,ИНТЕГРА,7
1,АЕРОДРОМ,2680,ДУИ,1
1,АЕРОДРОМ,2680,СДУ,7
1,АЕРОДРОМ,2680,ЕДИНСТВЕНА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680,МОРО,2
1,АЕРОДРОМ,2680,ВМРО - ДПМНЕ и други,127
1,АЕРОДРОМ,2680,ТВОЈА,0
1,АЕРОДРОМ,2680/1,ДПА,0
1,АЕРОДРОМ,2680/1,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2680/1,КОАЛИЦИЈА МОЖЕМЕ,107
1,АЕРОДРОМ,2680/1,ЛЕВИЦА,19
1,АЕРОДРОМ,2680/1,АА / A,0
1,АЕРОДРОМ,2680/1,ГЛАС ЗА МАКЕДОНИЈА,0
1,АЕРОДРОМ,2680/1,ГДУ,0
1,АЕРОДРОМ,2680/1,ИНТЕГРА,2
1,АЕРОДРОМ,2680/1,ДУИ,0
1,АЕРОДРОМ,2680/1,СДУ,1
1,АЕРОДРОМ,2680/1,ЕДИНСТВЕНА МАКЕДОНИЈА,2
1,АЕРОДРОМ,2680/1,МОРО,0
1,АЕРОДРОМ,2680/1,ВМРО - ДПМНЕ и други,132
1,АЕРОДРОМ,2680/1,ТВОЈА,1
1,АЕРОДРОМ,2681,ДПА,0
1,АЕРОДРОМ,2681,ДЕМОКРАТИ,0
1,АЕРОДРОМ,2681,КОАЛИЦИЈА МОЖЕМЕ,190
